Navn;Stasjon;Tid(norsk normaltid);Minimumstemperatur (døgn);Middeltemperatur (døgn);Maksimumstemperatur (døgn)
Oslo - Blindern;SN18700;01.01.1937;4,9;-;-
Oslo - Blindern;SN18700;02.01.1937;0,8;-;-
Oslo - Blindern;SN18700;03.01.1937;0,2;-;-
Oslo - Blindern;SN18700;04.01.1937;-0,1;-;-
Oslo - Blindern;SN18700;05.01.1937;0,5;-;-
Oslo - Blindern;SN18700;06.01.1937;0,9;-;-
Oslo - Blindern;SN18700;07.01.1937;-1,4;-;-
Oslo - Blindern;SN18700;08.01.1937;-6,7;-;-
Oslo - Blindern;SN18700;09.01.1937;-6,4;-;-
Oslo - Blindern;SN18700;10.01.1937;-5;-;-
Oslo - Blindern;SN18700;11.01.1937;-0,7;-;-
Oslo - Blindern;SN18700;12.01.1937;-2,5;-;-
Oslo - Blindern;SN18700;13.01.1937;-2,2;-;-
Oslo - Blindern;SN18700;14.01.1937;-1,5;-;-
Oslo - Blindern;SN18700;15.01.1937;-1,3;-;-
Oslo - Blindern;SN18700;16.01.1937;-1,9;-;-
Oslo - Blindern;SN18700;17.01.1937;-3;-;-
Oslo - Blindern;SN18700;18.01.1937;-3,9;-;-
Oslo - Blindern;SN18700;19.01.1937;-4,5;-;-
Oslo - Blindern;SN18700;20.01.1937;-3,5;-;-
Oslo - Blindern;SN18700;21.01.1937;-8;-;-
Oslo - Blindern;SN18700;22.01.1937;-8,4;-;-
Oslo - Blindern;SN18700;23.01.1937;-6,9;-;-
Oslo - Blindern;SN18700;24.01.1937;-1,1;-;-
Oslo - Blindern;SN18700;25.01.1937;-4,6;-;-
Oslo - Blindern;SN18700;26.01.1937;-5,8;-;-
Oslo - Blindern;SN18700;27.01.1937;-12,8;-;-
Oslo - Blindern;SN18700;28.01.1937;-12,6;-;-
Oslo - Blindern;SN18700;29.01.1937;-7,5;-;-
Oslo - Blindern;SN18700;30.01.1937;-7,4;-;-
Oslo - Blindern;SN18700;31.01.1937;-8,4;-;-
Oslo - Blindern;SN18700;01.02.1937;-8,5;-6,5;-
Oslo - Blindern;SN18700;02.02.1937;-7,4;-4,9;-
Oslo - Blindern;SN18700;03.02.1937;-10,5;-6,1;-
Oslo - Blindern;SN18700;04.02.1937;-7,8;-3,7;-
Oslo - Blindern;SN18700;05.02.1937;-5,2;-2,7;-
Oslo - Blindern;SN18700;06.02.1937;-4,6;-1,2;-
Oslo - Blindern;SN18700;07.02.1937;-6;-4,5;-
Oslo - Blindern;SN18700;08.02.1937;-12;-9;-
Oslo - Blindern;SN18700;09.02.1937;-13,5;-8,5;-
Oslo - Blindern;SN18700;10.02.1937;-11,9;-3,1;-
Oslo - Blindern;SN18700;11.02.1937;-4,1;-1,1;-
Oslo - Blindern;SN18700;12.02.1937;-2,4;-1,1;-
Oslo - Blindern;SN18700;13.02.1937;-4,3;-3,9;-
Oslo - Blindern;SN18700;14.02.1937;-11,2;-6,3;-
Oslo - Blindern;SN18700;15.02.1937;-9,5;-0,2;-
Oslo - Blindern;SN18700;16.02.1937;-5;-3,7;-
Oslo - Blindern;SN18700;17.02.1937;-6,5;-0,5;-
Oslo - Blindern;SN18700;18.02.1937;-5,9;-3,8;-
Oslo - Blindern;SN18700;19.02.1937;-8,4;-4,3;-
Oslo - Blindern;SN18700;20.02.1937;-5,6;-2,9;-
Oslo - Blindern;SN18700;21.02.1937;-6;-2,3;-
Oslo - Blindern;SN18700;22.02.1937;-5;-2,4;-
Oslo - Blindern;SN18700;23.02.1937;-5,3;-3,8;-
Oslo - Blindern;SN18700;24.02.1937;-8,3;-3,1;-
Oslo - Blindern;SN18700;25.02.1937;-12,5;-7,6;-
Oslo - Blindern;SN18700;26.02.1937;-12,5;-7,4;-
Oslo - Blindern;SN18700;27.02.1937;-10,3;-4,2;-
Oslo - Blindern;SN18700;28.02.1937;-6,4;1,1;-
Oslo - Blindern;SN18700;01.03.1937;0;1,6;2,5
Oslo - Blindern;SN18700;02.03.1937;0,8;1,5;2,4
Oslo - Blindern;SN18700;03.03.1937;-0,7;0;2
Oslo - Blindern;SN18700;04.03.1937;-3,3;-1,5;0,3
Oslo - Blindern;SN18700;05.03.1937;-6;-4,5;-1
Oslo - Blindern;SN18700;06.03.1937;-6;-4,9;-2,8
Oslo - Blindern;SN18700;07.03.1937;-15,6;-8,7;-1,6
Oslo - Blindern;SN18700;08.03.1937;-12,2;-9,1;-2
Oslo - Blindern;SN18700;09.03.1937;-16,9;-9,5;-1,5
Oslo - Blindern;SN18700;10.03.1937;-14,2;-8,7;-6,2
Oslo - Blindern;SN18700;11.03.1937;-14,4;-13,9;-9
Oslo - Blindern;SN18700;12.03.1937;-15,3;-12,1;-9,9
Oslo - Blindern;SN18700;13.03.1937;-9,9;-7,1;-6
Oslo - Blindern;SN18700;14.03.1937;-8;-5,8;-2,8
Oslo - Blindern;SN18700;15.03.1937;-5;-2;0,2
Oslo - Blindern;SN18700;16.03.1937;-1,3;1;3
Oslo - Blindern;SN18700;17.03.1937;0,4;1,9;4,2
Oslo - Blindern;SN18700;18.03.1937;-2,2;-1,3;2
Oslo - Blindern;SN18700;19.03.1937;-7,5;-1;1
Oslo - Blindern;SN18700;20.03.1937;0;2,3;5,5
Oslo - Blindern;SN18700;21.03.1937;0,6;1,5;2,2
Oslo - Blindern;SN18700;22.03.1937;-0,1;1,4;2,8
Oslo - Blindern;SN18700;23.03.1937;-2,5;1,8;6,2
Oslo - Blindern;SN18700;24.03.1937;-6,8;0,5;6
Oslo - Blindern;SN18700;25.03.1937;-1,9;0,3;2
Oslo - Blindern;SN18700;26.03.1937;-1,3;-0,5;0,4
Oslo - Blindern;SN18700;27.03.1937;-1,2;1,1;3,2
Oslo - Blindern;SN18700;28.03.1937;-1,6;0,7;2,9
Oslo - Blindern;SN18700;29.03.1937;-5,1;0,7;6,7
Oslo - Blindern;SN18700;30.03.1937;-5,6;1,3;5,7
Oslo - Blindern;SN18700;31.03.1937;-9;-0,3;5,3
Oslo - Blindern;SN18700;01.04.1937;-6,5;1,1;8,3
Oslo - Blindern;SN18700;02.04.1937;-4,1;1;4,8
Oslo - Blindern;SN18700;03.04.1937;0,8;2,1;4,3
Oslo - Blindern;SN18700;04.04.1937;1,5;3,5;5,8
Oslo - Blindern;SN18700;05.04.1937;2,4;3,3;5,5
Oslo - Blindern;SN18700;06.04.1937;2,9;4,4;7
Oslo - Blindern;SN18700;07.04.1937;2,6;5,3;10,9
Oslo - Blindern;SN18700;08.04.1937;3,1;5,1;7,3
Oslo - Blindern;SN18700;09.04.1937;3;4,6;6,6
Oslo - Blindern;SN18700;10.04.1937;3,2;3,7;4,8
Oslo - Blindern;SN18700;11.04.1937;2,5;4,4;7,2
Oslo - Blindern;SN18700;12.04.1937;3;5,9;8,9
Oslo - Blindern;SN18700;13.04.1937;3,8;6,4;10
Oslo - Blindern;SN18700;14.04.1937;2,8;6,5;11,4
Oslo - Blindern;SN18700;15.04.1937;2,8;7,5;11,8
Oslo - Blindern;SN18700;16.04.1937;3,4;5,3;9,6
Oslo - Blindern;SN18700;17.04.1937;4,4;5,5;6,4
Oslo - Blindern;SN18700;18.04.1937;5;5,1;6,1
Oslo - Blindern;SN18700;19.04.1937;4,1;5;6,4
Oslo - Blindern;SN18700;20.04.1937;4,7;5,3;5,9
Oslo - Blindern;SN18700;21.04.1937;4,9;8,6;12,2
Oslo - Blindern;SN18700;22.04.1937;6;8,4;11,6
Oslo - Blindern;SN18700;23.04.1937;4,5;7,8;13,2
Oslo - Blindern;SN18700;24.04.1937;4,5;5,9;9,6
Oslo - Blindern;SN18700;25.04.1937;4,3;7,4;11
Oslo - Blindern;SN18700;26.04.1937;6,4;8,1;10,2
Oslo - Blindern;SN18700;27.04.1937;6,5;8,7;11
Oslo - Blindern;SN18700;28.04.1937;5,3;9,4;14,5
Oslo - Blindern;SN18700;29.04.1937;2,9;11,7;18,6
Oslo - Blindern;SN18700;30.04.1937;5,1;13,9;20,5
Oslo - Blindern;SN18700;01.05.1937;5,1;11,2;17,5
Oslo - Blindern;SN18700;02.05.1937;3,2;11,7;20,1
Oslo - Blindern;SN18700;03.05.1937;2;12,1;20,2
Oslo - Blindern;SN18700;04.05.1937;3;12,8;20,3
Oslo - Blindern;SN18700;05.05.1937;7;12,4;19,2
Oslo - Blindern;SN18700;06.05.1937;8,9;10;13
Oslo - Blindern;SN18700;07.05.1937;7;8,5;9,8
Oslo - Blindern;SN18700;08.05.1937;6,7;11,1;15,5
Oslo - Blindern;SN18700;09.05.1937;5,8;7,8;15,4
Oslo - Blindern;SN18700;10.05.1937;7,2;8,3;10,2
Oslo - Blindern;SN18700;11.05.1937;5,6;7,3;10,2
Oslo - Blindern;SN18700;12.05.1937;5,9;10,9;16,4
Oslo - Blindern;SN18700;13.05.1937;8;13,1;18
Oslo - Blindern;SN18700;14.05.1937;7,2;12;17,5
Oslo - Blindern;SN18700;15.05.1937;8,7;10;12
Oslo - Blindern;SN18700;16.05.1937;5,7;8,6;10,4
Oslo - Blindern;SN18700;17.05.1937;9,1;9,7;10,4
Oslo - Blindern;SN18700;18.05.1937;8,2;12,3;16,6
Oslo - Blindern;SN18700;19.05.1937;5,5;12,8;18
Oslo - Blindern;SN18700;20.05.1937;9,8;10,6;16,8
Oslo - Blindern;SN18700;21.05.1937;11,2;15,1;18,7
Oslo - Blindern;SN18700;22.05.1937;13,3;14,3;17,8
Oslo - Blindern;SN18700;23.05.1937;9,6;15,3;20,8
Oslo - Blindern;SN18700;24.05.1937;9,8;12,9;16
Oslo - Blindern;SN18700;25.05.1937;10,9;15,1;20,3
Oslo - Blindern;SN18700;26.05.1937;11,5;15,7;22,6
