Navn;Stasjon;Tid(norsk normaltid);Midlere lufttrykk i havnivå (døgn);Høyeste vindkast (døgn);Middel av middelvind fra hovedobs. (døgn)
Oslo - Blindern;SN18700;01.01.1957;1019,6;-;1
Oslo - Blindern;SN18700;02.01.1957;1017,5;-;2,6
Oslo - Blindern;SN18700;03.01.1957;1016,7;-;2,6
Oslo - Blindern;SN18700;04.01.1957;1013,2;-;1,7
Oslo - Blindern;SN18700;05.01.1957;995;-;1
Oslo - Blindern;SN18700;06.01.1957;990;-;3,9
Oslo - Blindern;SN18700;07.01.1957;1014,2;-;0,9
Oslo - Blindern;SN18700;08.01.1957;1003,4;-;1,7
Oslo - Blindern;SN18700;09.01.1957;993,2;-;5,3
Oslo - Blindern;SN18700;10.01.1957;1001,6;-;2,4
Oslo - Blindern;SN18700;11.01.1957;1018,4;-;1
Oslo - Blindern;SN18700;12.01.1957;1000,3;-;2,7
Oslo - Blindern;SN18700;13.01.1957;1025,8;-;4
Oslo - Blindern;SN18700;14.01.1957;1039,2;-;0,3
Oslo - Blindern;SN18700;15.01.1957;1031,5;-;0,9
Oslo - Blindern;SN18700;16.01.1957;1034,3;-;0
Oslo - Blindern;SN18700;17.01.1957;1031,9;-;0,3
Oslo - Blindern;SN18700;18.01.1957;1024,8;-;0,3
Oslo - Blindern;SN18700;19.01.1957;1023;-;0
Oslo - Blindern;SN18700;20.01.1957;998;-;7,7
Oslo - Blindern;SN18700;21.01.1957;997,9;-;2,8
Oslo - Blindern;SN18700;22.01.1957;1000,1;-;1,4
Oslo - Blindern;SN18700;23.01.1957;1009,2;-;0,3
Oslo - Blindern;SN18700;24.01.1957;1011,6;-;1,4
Oslo - Blindern;SN18700;25.01.1957;1008;-;1,2
Oslo - Blindern;SN18700;26.01.1957;1001,1;-;3,3
Oslo - Blindern;SN18700;27.01.1957;997,4;-;0,3
Oslo - Blindern;SN18700;28.01.1957;1014,9;-;0
Oslo - Blindern;SN18700;29.01.1957;1010,1;-;2,2
Oslo - Blindern;SN18700;30.01.1957;1025,4;-;1
Oslo - Blindern;SN18700;31.01.1957;1022,1;-;0,9
Oslo - Blindern;SN18700;01.02.1957;998,5;-;0,7
Oslo - Blindern;SN18700;02.02.1957;1004,6;-;0,7
Oslo - Blindern;SN18700;03.02.1957;1019,3;-;0,7
Oslo - Blindern;SN18700;04.02.1957;1009,8;-;1,4
Oslo - Blindern;SN18700;05.02.1957;998,3;-;4,1
Oslo - Blindern;SN18700;06.02.1957;1000;-;0,3
Oslo - Blindern;SN18700;07.02.1957;1001;-;0,3
Oslo - Blindern;SN18700;08.02.1957;999,5;-;2,6
Oslo - Blindern;SN18700;09.02.1957;992,9;-;2,4
Oslo - Blindern;SN18700;10.02.1957;998,3;-;1
Oslo - Blindern;SN18700;11.02.1957;1010,4;-;1
Oslo - Blindern;SN18700;12.02.1957;1006,9;-;3,8
Oslo - Blindern;SN18700;13.02.1957;995,5;-;9,3
Oslo - Blindern;SN18700;14.02.1957;988,7;-;10,3
Oslo - Blindern;SN18700;15.02.1957;988,5;-;7,6
Oslo - Blindern;SN18700;16.02.1957;990,8;-;5,6
Oslo - Blindern;SN18700;17.02.1957;996,9;-;1
Oslo - Blindern;SN18700;18.02.1957;1001;-;0,3
Oslo - Blindern;SN18700;19.02.1957;1004,5;-;0,3
Oslo - Blindern;SN18700;20.02.1957;1006,4;-;0,3
Oslo - Blindern;SN18700;21.02.1957;1010,7;-;0
Oslo - Blindern;SN18700;22.02.1957;1015,5;-;1
Oslo - Blindern;SN18700;23.02.1957;1016,5;-;0,9
Oslo - Blindern;SN18700;24.02.1957;1008,6;-;1
Oslo - Blindern;SN18700;25.02.1957;1011,8;-;0,3
Oslo - Blindern;SN18700;26.02.1957;1016,5;-;1
Oslo - Blindern;SN18700;27.02.1957;1026,3;-;0,9
Oslo - Blindern;SN18700;28.02.1957;1037;-;0,7
Oslo - Blindern;SN18700;01.03.1957;1031;-;2,2
Oslo - Blindern;SN18700;02.03.1957;1026,4;-;1
Oslo - Blindern;SN18700;03.03.1957;1012,7;-;1
Oslo - Blindern;SN18700;04.03.1957;1009,7;-;1,5
Oslo - Blindern;SN18700;05.03.1957;1013,4;-;0,3
Oslo - Blindern;SN18700;06.03.1957;1013,2;-;0,7
Oslo - Blindern;SN18700;07.03.1957;1014;-;1,4
Oslo - Blindern;SN18700;08.03.1957;1020,9;-;1,5
Oslo - Blindern;SN18700;09.03.1957;1027,9;-;1,5
Oslo - Blindern;SN18700;10.03.1957;1030;-;1,7
Oslo - Blindern;SN18700;11.03.1957;1025,3;-;1,5
Oslo - Blindern;SN18700;12.03.1957;1019,4;-;0
Oslo - Blindern;SN18700;13.03.1957;1008,4;-;0
Oslo - Blindern;SN18700;14.03.1957;992,9;-;3,8
Oslo - Blindern;SN18700;15.03.1957;1003;-;3,1
Oslo - Blindern;SN18700;16.03.1957;1017,9;-;1,7
Oslo - Blindern;SN18700;17.03.1957;1006,6;-;2,6
Oslo - Blindern;SN18700;18.03.1957;995,5;-;1,9
Oslo - Blindern;SN18700;19.03.1957;1010,1;-;2,9
Oslo - Blindern;SN18700;20.03.1957;1004,1;-;5,8
Oslo - Blindern;SN18700;21.03.1957;994,8;-;1
Oslo - Blindern;SN18700;22.03.1957;1006,9;-;1,4
Oslo - Blindern;SN18700;23.03.1957;1031,1;-;4
Oslo - Blindern;SN18700;24.03.1957;1032,7;-;2,1
Oslo - Blindern;SN18700;25.03.1957;1024,5;-;2,7
Oslo - Blindern;SN18700;26.03.1957;1017,1;-;0,7
Oslo - Blindern;SN18700;27.03.1957;1015,9;-;3,3
Oslo - Blindern;SN18700;28.03.1957;1014,6;-;7,6
Oslo - Blindern;SN18700;29.03.1957;1027,5;-;2,7
Oslo - Blindern;SN18700;30.03.1957;1028,9;-;0,3
Oslo - Blindern;SN18700;31.03.1957;1026,9;-;0
Oslo - Blindern;SN18700;01.04.1957;1026,9;-;0,3
Oslo - Blindern;SN18700;02.04.1957;1025,5;-;0,3
Oslo - Blindern;SN18700;03.04.1957;1026,2;-;0,3
Oslo - Blindern;SN18700;04.04.1957;1024,6;-;0,7
Oslo - Blindern;SN18700;05.04.1957;1015,4;-;0,7
Oslo - Blindern;SN18700;06.04.1957;1015;-;6
Oslo - Blindern;SN18700;07.04.1957;1026;-;5,3
Oslo - Blindern;SN18700;08.04.1957;1018,9;-;4,8
Oslo - Blindern;SN18700;09.04.1957;1015,2;-;1,7
Oslo - Blindern;SN18700;10.04.1957;996,5;-;5,7
Oslo - Blindern;SN18700;11.04.1957;1006,2;-;6,9
Oslo - Blindern;SN18700;12.04.1957;1012,3;-;3,9
Oslo - Blindern;SN18700;13.04.1957;1016,3;-;4,6
Oslo - Blindern;SN18700;14.04.1957;1018,6;-;2,6
Oslo - Blindern;SN18700;15.04.1957;1018,2;-;2,7
Oslo - Blindern;SN18700;16.04.1957;1013,5;-;1
Oslo - Blindern;SN18700;17.04.1957;1020,6;-;3,3
Oslo - Blindern;SN18700;18.04.1957;1018,8;-;2,2
Oslo - Blindern;SN18700;19.04.1957;1011,9;-;1
Oslo - Blindern;SN18700;20.04.1957;1021,6;-;1,2
Oslo - Blindern;SN18700;21.04.1957;1031,2;-;1,5
Oslo - Blindern;SN18700;22.04.1957;1035;-;1,2
Oslo - Blindern;SN18700;23.04.1957;1036,7;-;2,6
Oslo - Blindern;SN18700;24.04.1957;1034,7;-;1,2
Oslo - Blindern;SN18700;25.04.1957;1036,2;-;6
Oslo - Blindern;SN18700;26.04.1957;1033,4;-;2,1
Oslo - Blindern;SN18700;27.04.1957;1023,4;-;1,4
Oslo - Blindern;SN18700;28.04.1957;1013,1;-;1
Oslo - Blindern;SN18700;29.04.1957;1007;-;2,2
Oslo - Blindern;SN18700;30.04.1957;1009,2;-;7,9
Oslo - Blindern;SN18700;01.05.1957;1017,5;-;2,6
Oslo - Blindern;SN18700;02.05.1957;1011,2;-;1,4
Oslo - Blindern;SN18700;03.05.1957;997,5;-;6,7
Oslo - Blindern;SN18700;04.05.1957;1001,2;-;8,4
Oslo - Blindern;SN18700;05.05.1957;1005,4;-;8,4
Oslo - Blindern;SN18700;06.05.1957;1012,3;-;5,3
Oslo - Blindern;SN18700;07.05.1957;1015,5;-;5,3
Oslo - Blindern;SN18700;08.05.1957;1014,4;-;2,7
Oslo - Blindern;SN18700;09.05.1957;1010,1;-;2,7
Oslo - Blindern;SN18700;10.05.1957;1021,4;-;4
Oslo - Blindern;SN18700;11.05.1957;1013,3;-;1,7
Oslo - Blindern;SN18700;12.05.1957;1013,4;-;0,7
Oslo - Blindern;SN18700;13.05.1957;1013,8;-;0,7
Oslo - Blindern;SN18700;14.05.1957;1012,2;-;1,7
Oslo - Blindern;SN18700;15.05.1957;1017,2;-;0,5
Oslo - Blindern;SN18700;16.05.1957;1011,5;-;1,4
Oslo - Blindern;SN18700;17.05.1957;1011;-;3,8
Oslo - Blindern;SN18700;18.05.1957;1011,8;-;3,3
Oslo - Blindern;SN18700;19.05.1957;1010,1;-;2,4
Oslo - Blindern;SN18700;20.05.1957;1009,3;-;3,9
Oslo - Blindern;SN18700;21.05.1957;1016,7;-;5,3
Oslo - Blindern;SN18700;22.05.1957;1026,4;-;5,5
Oslo - Blindern;SN18700;23.05.1957;1026,7;-;3,9
Oslo - Blindern;SN18700;24.05.1957;1033,4;-;2,1
Oslo - Blindern;SN18700;25.05.1957;1032,6;-;1,4
Oslo - Blindern;SN18700;26.05.1957;1030,5;-;3,1
Oslo - Blindern;SN18700;27.05.1957;1029,5;-;3,4
Oslo - Blindern;SN18700;28.05.1957;1021,7;-;1,7
Oslo - Blindern;SN18700;29.05.1957;1019,7;-;2,1
Oslo - Blindern;SN18700;30.05.1957;1015,6;-;3,4
Oslo - Blindern;SN18700;31.05.1957;1007,6;-;2,9
Oslo - Blindern;SN18700;01.06.1957;1004,7;-;4,6
Oslo - Blindern;SN18700;02.06.1957;1011,9;-;2,7
Oslo - Blindern;SN18700;03.06.1957;1009,8;-;2,1
Oslo - Blindern;SN18700;04.06.1957;1007,4;-;2,6
Oslo - Blindern;SN18700;05.06.1957;999;-;3,3
Oslo - Blindern;SN18700;06.06.1957;993;-;2,1
Oslo - Blindern;SN18700;07.06.1957;995;-;2,1
Oslo - Blindern;SN18700;08.06.1957;1003,2;-;3,1
Oslo - Blindern;SN18700;09.06.1957;1008;-;3,2
Oslo - Blindern;SN18700;10.06.1957;1012,2;-;0,7
Oslo - Blindern;SN18700;11.06.1957;1010,9;-;1,4
Oslo - Blindern;SN18700;12.06.1957;1013,9;-;0,7
Oslo - Blindern;SN18700;13.06.1957;1028,8;-;1,4
Oslo - Blindern;SN18700;14.06.1957;1032,2;-;2,1
Oslo - Blindern;SN18700;15.06.1957;1026,4;-;3,8
Oslo - Blindern;SN18700;16.06.1957;1023,6;-;1,5
Oslo - Blindern;SN18700;17.06.1957;1017,3;-;2,4
Oslo - Blindern;SN18700;18.06.1957;1016,2;-;5,3
Oslo - Blindern;SN18700;19.06.1957;1018;-;3,9
Oslo - Blindern;SN18700;20.06.1957;1020,3;-;2,1
Oslo - Blindern;SN18700;21.06.1957;1012,5;-;3,3
Oslo - Blindern;SN18700;22.06.1957;1008,4;-;4,6
Oslo - Blindern;SN18700;23.06.1957;1003,7;-;3,1
Oslo - Blindern;SN18700;24.06.1957;1004,1;-;2,6
Oslo - Blindern;SN18700;25.06.1957;1006,7;-;1,4
Oslo - Blindern;SN18700;26.06.1957;1009,4;-;1,4
Oslo - Blindern;SN18700;27.06.1957;1011,7;-;2,8
Oslo - Blindern;SN18700;28.06.1957;1011;-;1,4
Oslo - Blindern;SN18700;29.06.1957;1016,6;-;2,6
Oslo - Blindern;SN18700;30.06.1957;1018,9;-;1,4
Oslo - Blindern;SN18700;01.07.1957;1015;-;2,8
Oslo - Blindern;SN18700;02.07.1957;1010,4;-;3,4
Oslo - Blindern;SN18700;03.07.1957;1015,8;-;1,7
Oslo - Blindern;SN18700;04.07.1957;1012,1;-;1
